method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit,first_solution,slurm_array_id
no_warm_start_dense_passing,"[100, 100, 100, 1]",14271,50,0.3,0.2346784294993449,0.2093998789787292,562.9329216480255,600.6092801094055,1184,600,0.1731444746255874,
no_warm_start_dense_passing,"[100, 100, 100, 1]",10251,50,0.5,0.1974457036548039,0.1639004200696945,206.38924407958984,601.0229516029358,1405,600,0.1731444746255874,
no_warm_start_dense_passing,"[100, 100, 100, 1]",4221,50,0.8,0.0486560111802894,0.0365653038024902,122.06163549423218,601.6209290027618,6753,600,0.1731444746255874,
no_warm_start_dense_passing,"[100, 100, 100, 1]",2211,50,0.9,0.0011998382260631,0.0198967587202787,54.44819641113281,601.0337836742401,90169,600,0.1731444746255874,
no_warm_start_dense_passing,"[100, 100, 100, 1]",1206,50,0.95,-0.0294438336783989,-0.0538800656795501,0.7124049663543701,1.7389538288116455,2,600,0.1731444746255874,
no_warm_start_dense_passing,"[100, 100, 100, 1]",301,50,0.995,-0.0250799898058176,-0.0533438250422477,0.2774891853332519,1.0751256942749023,1,600,0.1731444746255874,
no_warm_start_dense_passing,"[100, 100, 100, 1]",221,50,0.999,-0.0250799898058176,-0.050227865576744,0.2832210063934326,0.2854378223419189,1,600,0.1731444746255874,
no_warm_start_dense_passing,"[100, 100, 100, 1]",20301,51,0.0,0.2311029498217978,0.2311029285192489,582.7492320537567,600.5236392021179,924,600,0.1433043032884597,
no_warm_start_dense_passing,"[100, 100, 100, 1]",14271,51,0.3,0.2467460925591834,0.2221557348966598,500.33072781562805,600.5980033874512,1315,600,0.1433043032884597,
no_warm_start_dense_passing,"[100, 100, 100, 1]",10251,51,0.5,0.1833791194827337,0.1805091351270675,159.89128756523132,600.5763201713562,1255,600,0.1433043032884597,
no_warm_start_dense_passing,"[100, 100, 100, 1]",4221,51,0.8,0.0737578266826933,0.0670066997408866,216.0495991706848,601.3971185684204,12166,600,0.1433043032884597,
no_warm_start_dense_passing,"[100, 100, 100, 1]",2211,51,0.9,0.0353849098737844,0.010522324591875,204.0454556941986,600.9139592647552,43485,600,0.1433043032884597,
no_warm_start_dense_passing,"[100, 100, 100, 1]",1206,51,0.95,0.0261250026524066,-0.0443565510213375,0.7374711036682129,1.7284698486328125,10,600,0.1433043032884597,
no_warm_start_dense_passing,"[100, 100, 100, 1]",301,51,0.995,0.0261250026524066,-0.0287156663835048,0.3597197532653808,1.5933380126953125,2,600,0.1433043032884597,
no_warm_start_dense_passing,"[100, 100, 100, 1]",221,51,0.999,0.0261250026524066,-0.0207809656858444,0.3005411624908447,0.3026342391967773,1,600,0.1433043032884597,
no_warm_start_dense_passing,"[100, 100, 100, 1]",20301,52,0.0,0.316895926337571,0.3168959319591522,584.2502138614655,600.8901951313019,265,600,0.242207795381546,
no_warm_start_dense_passing,"[100, 100, 100, 1]",14271,52,0.3,0.334254237276649,0.3230097889900207,597.2421789169312,600.4910309314728,1011,600,0.242207795381546,
no_warm_start_dense_passing,"[100, 100, 100, 1]",10251,52,0.5,0.2554949515117128,0.2460493147373199,113.22250962257384,600.9501533508301,1908,600,0.242207795381546,
no_warm_start_dense_passing,"[100, 100, 100, 1]",4221,52,0.8,0.1589095357627548,0.1656097024679184,33.72512769699097,600.9929430484772,13207,600,0.242207795381546,
no_warm_start_dense_passing,"[100, 100, 100, 1]",2211,52,0.9,0.1287670350453714,0.1374084949493408,14.682268619537354,621.6706562042236,89855,600,0.242207795381546,
no_warm_start_dense_passing,"[100, 100, 100, 1]",1206,52,0.95,0.0990039488146345,0.1293567419052124,7.710278272628784,81.79980182647705,15511,600,0.242207795381546,
no_warm_start_dense_passing,"[100, 100, 100, 1]",301,52,0.995,0.0892684881922611,0.0803500860929489,0.3764247894287109,1.3847098350524902,2,600,0.242207795381546,
no_warm_start_dense_passing,"[100, 100, 100, 1]",221,52,0.999,0.09592866897583,0.0753177925944328,0.5935094356536865,1.854088306427002,1,600,0.242207795381546,
no_warm_start_dense_passing,"[100, 100, 100, 1]",20301,53,0.0,0.3017852347933587,0.301785260438919,595.1426701545715,600.5283212661743,736,600,0.2750420570373535,
no_warm_start_dense_passing,"[100, 100, 100, 1]",14271,53,0.3,0.3709651594163188,0.3744702041149139,502.4220533370972,600.5731673240662,591,600,0.2750420570373535,
no_warm_start_dense_passing,"[100, 100, 100, 1]",10251,53,0.5,0.3269413731901162,0.2679689228534698,300.4917461872101,600.5378811359406,1497,600,0.2750420570373535,
no_warm_start_dense_passing,"[100, 100, 100, 1]",4221,53,0.8,0.0763575819108022,0.1945695877075195,83.02013444900513,601.4072051048279,4732,600,0.2750420570373535,
no_warm_start_dense_passing,"[100, 100, 100, 1]",2211,53,0.9,0.0006842591007024,0.1170073002576828,173.14798951148987,612.9721925258636,25398,600,0.2750420570373535,
no_warm_start_dense_passing,"[100, 100, 100, 1]",1206,53,0.95,-0.0436015519097401,0.1035066843032836,1.7487916946411133,609.1560173034668,123819,600,0.2750420570373535,
no_warm_start_dense_passing,"[100, 100, 100, 1]",301,53,0.995,-0.0618238113820552,0.0053053237497806,0.297086238861084,1.749197483062744,2,600,0.2750420570373535,
no_warm_start_dense_passing,"[100, 100, 100, 1]",221,53,0.999,-0.0618238113820552,-0.0363395772874355,0.4185059070587158,0.4211604595184326,1,600,0.2750420570373535,
no_warm_start_dense_passing,"[100, 100, 100, 1]",20301,54,0.0,0.539747209934974,0.5397471785545349,569.6742787361145,601.2599194049835,572,600,0.421760082244873,
