method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit,first_solution,slurm_array_id
no_warm_start_dense_passing,"[100, 100, 100, 100, 100, 100, 1]",50601,54,0.0,-inf,-inf,,601.5237777233124,0,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 200, 200, 200, 1]",181201,50,0.0,-inf,-inf,,603.7668895721436,0,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 200, 200, 200, 1]",181201,51,0.0,-inf,-inf,,603.545182466507,0,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 200, 200, 200, 1]",181201,52,0.0,-inf,-inf,,603.9893569946289,0,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 200, 200, 200, 1]",181201,53,0.0,-inf,-inf,,603.9483187198639,0,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 200, 200, 200, 1]",181201,54,0.0,-inf,-inf,,602.7832896709442,0,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 1]",52651,50,0.0,1.3855029092412865,1.3855029344558716,441.26136469841,600.5073041915894,22,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 1]",52651,51,0.0,1.2325169008992374,1.2325167655944824,441.6723895072937,600.6870293617249,19,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 1]",52651,52,0.0,1.1755676509391089,1.175567626953125,520.6781268119812,600.5949132442474,12,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 1]",52651,53,0.0,1.0741386843395868,1.074138641357422,449.2871789932251,600.5543370246887,18,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 1]",52651,54,0.0,1.242302665425879,1.2423027753829956,573.9825460910797,602.830780506134,19,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 1]",110301,50,0.0,1.0172855759631412,1.0172855854034424,507.41397881507874,601.2856242656708,9,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 1]",110301,51,0.0,1.0455640239884023,1.0455639362335205,283.39180731773376,600.9990267753601,12,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 1]",110301,52,0.0,1.1330792712685602,1.1330792903900146,601.8042869567871,602.1520485877991,18,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 1]",110301,53,0.0,1.0383502082016989,1.038350224494934,433.5254456996918,600.8907063007355,7,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 1]",110301,54,0.0,1.0996201288189404,1.0996201038360596,15.278098106384276,600.8852019309998,11,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 1]",240601,50,0.0,-inf,-inf,,601.1672809123993,0,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 1]",240601,51,0.0,-inf,-inf,,601.1869053840637,0,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 1]",240601,52,0.0,-inf,-inf,,601.4456489086151,0,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 1]",240601,53,0.0,-inf,-inf,,601.1370234489441,0,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 1]",240601,54,0.0,-inf,-inf,,601.1272170543671,0,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 50, 1]",55201,50,0.0,0.2876898010048371,0.2876898050308227,408.02021622657776,600.7480614185333,25,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 50, 1]",55201,51,0.0,0.4916158498038002,0.4916158616542816,582.5281472206116,600.9539408683777,15,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 50, 1]",55201,52,0.0,0.7037779042083192,0.7037778496742249,473.4105522632599,600.9853849411011,13,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 50, 1]",55201,53,0.0,0.5218960592549878,0.5218960642814636,494.8882834911346,600.7784471511841,10,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 50, 1]",55201,54,0.0,0.6621475625645025,0.6621475219726562,260.8560199737549,600.9920060634613,7,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 100, 1]",120401,50,0.0,-0.1258846379340296,-0.1258846521377563,379.9129364490509,600.8351361751556,6,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 100, 1]",120401,51,0.0,0.0993991903657431,0.0993987321853637,439.6506350040436,600.8583414554596,8,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 100, 1]",120401,52,0.0,0.0321583207165806,0.0321583226323127,552.1197500228882,600.8298137187958,9,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 100, 1]",120401,53,0.0,0.0194127975769258,0.0194126386195421,3.5168473720550537,600.9357409477234,3,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 100, 1]",120401,54,0.0,0.0156670313850106,0.0156670231372118,4.094836950302124,601.0667111873627,5,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 200, 1]",280801,50,0.0,-0.070981175142349,-0.0709811747074127,3.4983575344085693,601.7534124851227,2,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 200, 1]",280801,51,0.0,0.012748387664708,0.0127483885735273,105.73178791999815,601.6461274623871,1,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 200, 1]",280801,52,0.0,0.0417975243047466,0.0417975112795829,95.90793919563292,601.7552299499512,3,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 200, 1]",280801,53,0.0,0.0239472323539241,0.0239472333341836,97.30255103111269,602.0166773796082,1,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 200, 1]",280801,54,0.0,0.0639126033113447,0.0639126002788543,97.65666341781616,602.1176645755768,1,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 50, 50, 1]",57751,50,0.0,-0.0760061441254782,-0.0760062113404274,3.06414008140564,600.7174832820892,3,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 50, 50, 1]",57751,51,0.0,-0.0324790243660428,-0.0324794463813304,2.14308500289917,601.0541081428528,17,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 50, 50, 1]",57751,52,0.0,0.0286676120694612,0.0286676175892353,365.3363778591156,601.4799358844757,14,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 50, 50, 1]",57751,53,0.0,-0.0839412601522279,-0.0839412659406662,495.4426255226135,600.6516969203949,5,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 50, 50, 1]",57751,54,0.0,0.0986914285830893,0.098691239953041,2.50309157371521,600.6915032863617,4,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 100, 100, 1]",130501,50,0.0,-inf,-inf,,601.2060408592224,0,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 100, 100, 1]",130501,51,0.0,0.1015741948914005,0.1015741974115371,13.95147943496704,601.7886292934418,2,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 100, 100, 1]",130501,52,0.0,0.0016223800741048,0.0016222950071096,8.05185580253601,601.5731103420258,2,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 100, 100, 1]",130501,53,0.0,-inf,-inf,,601.5425696372986,0,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 100, 100, 1]",130501,54,0.0,-inf,-inf,,601.723644733429,0,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 200, 200, 1]",321001,50,0.0,-0.012924124038367,-0.0129241244867444,3.574079990386963,602.6107523441315,2,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 200, 200, 1]",321001,51,0.0,-inf,-inf,,602.0694541931152,0,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 200, 200, 1]",321001,52,0.0,0.0416561253823601,0.0416561253368854,3.4350264072418213,601.3218326568604,2,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 200, 200, 1]",321001,53,0.0,-0.0900917683629577,-0.0900917798280716,60.403703451156616,602.4873790740967,2,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 200, 200, 1]",321001,54,0.0,-inf,-inf,,602.2872221469879,0,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 50, 50, 50, 1]",60301,50,0.0,0.0548595170911959,0.0548594743013381,400.0427849292755,600.929012298584,2,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 50, 50, 50, 1]",60301,51,0.0,0.1219306114340862,0.1219306141138076,454.7796273231506,601.5109646320343,1,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 50, 50, 50, 1]",60301,52,0.0,-0.0645149951694414,-0.0645149946212768,374.38405895233154,600.6778700351715,1,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 50, 50, 50, 1]",60301,53,0.0,-0.1319090673741202,-0.1319090723991394,451.1322102546692,600.6691999435425,1,600,0,
no_warm_start_dense_passing,"[1000, 50, 50, 50, 50, 50, 1]",60301,54,0.0,-0.0809532521253907,-0.0809532478451728,423.0962164402008,600.9619772434235,1,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 100, 100, 100, 1]",140601,50,0.0,-inf,-inf,,601.28084897995,0,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 100, 100, 100, 1]",140601,51,0.0,-inf,-inf,,601.2991390228271,0,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 100, 100, 100, 1]",140601,52,0.0,-inf,-inf,,601.3185818195343,0,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 100, 100, 100, 1]",140601,53,0.0,-inf,-inf,,601.38236784935,0,600,0,
no_warm_start_dense_passing,"[1000, 100, 100, 100, 100, 100, 1]",140601,54,0.0,-inf,-inf,,601.3201501369476,0,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 200, 200, 200, 1]",361201,50,0.0,0.0338878199418965,0.0338874123990535,4.1723105907440186,602.5292558670044,2,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 200, 200, 200, 1]",361201,51,0.0,-inf,-inf,,603.5645043849945,0,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 200, 200, 200, 1]",361201,52,0.0,0.0008756880361959,0.0008752283174544,6.072884798049927,603.918478012085,2,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 200, 200, 200, 1]",361201,53,0.0,-inf,-inf,,603.0710842609406,0,600,0,
no_warm_start_dense_passing,"[1000, 200, 200, 200, 200, 200, 1]",361201,54,0.0,-inf,-inf,,603.6338536739349,0,600,0,
no_warm_start_dense_passing,"[10000, 50, 50, 1]",502651,50,0.0,3.461076371589294,3.461076259613037,586.2922048568726,600.4927220344543,14,600,0,
no_warm_start_dense_passing,"[10000, 50, 50, 1]",502651,51,0.0,3.8828151472573462,3.882814884185791,315.317353963852,602.0117108821869,10,600,0,
no_warm_start_dense_passing,"[10000, 50, 50, 1]",502651,52,0.0,3.570649561956351,3.5706496238708496,596.5263259410858,600.6911256313324,9,600,0,
no_warm_start_dense_passing,"[10000, 50, 50, 1]",502651,53,0.0,4.340930268717043,4.340929985046387,523.4701697826385,617.6401476860046,6,600,0,
no_warm_start_dense_passing,"[10000, 50, 50, 1]",502651,54,0.0,3.8199773636722334,3.819976806640625,424.8090000152588,703.4314692020416,10,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 1]",1010301,50,0.0,2.8655965712531035,2.8655965328216557,80.56957173347473,601.4119012355804,2,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 1]",1010301,51,0.0,3.159836225504016,3.1598362922668457,192.4118251800537,603.9622285366058,3,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 1]",1010301,52,0.0,3.336032470034574,3.3360323905944824,205.8181800842285,601.0034637451172,3,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 1]",1010301,53,0.0,1.9579212698376016,1.957921028137207,166.22166895866394,600.8684794902802,3,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 1]",1010301,54,0.0,2.203305971903694,2.203306198120117,526.0792727470398,601.123438835144,3,600,0,
no_warm_start_dense_passing,"[10000, 200, 200, 1]",2040601,50,0.0,0.0052652796730399,0.0052652764134109,21.173385620117188,601.5123455524445,1,600,0,
no_warm_start_dense_passing,"[10000, 200, 200, 1]",2040601,51,0.0,-inf,-inf,,601.605978012085,0,600,0,
no_warm_start_dense_passing,"[10000, 200, 200, 1]",2040601,52,0.0,-inf,-inf,,601.5477111339569,0,600,0,
no_warm_start_dense_passing,"[10000, 200, 200, 1]",2040601,53,0.0,-0.0076437108218669,-0.0076437122188508,22.44595003128052,602.0043950080872,1,600,0,
no_warm_start_dense_passing,"[10000, 200, 200, 1]",2040601,54,0.0,-0.0568508580327034,-0.0568508431315422,23.23559808731079,601.9805018901825,1,600,0,
no_warm_start_dense_passing,"[10000, 50, 50, 50, 1]",505201,50,0.0,0.2036406298200479,0.2036406993865966,573.7902746200562,601.3002891540527,7,600,0,
no_warm_start_dense_passing,"[10000, 50, 50, 50, 1]",505201,51,0.0,-0.1561878002766039,-0.1561878025531768,12.110498189926147,601.1862411499023,1,600,0,
no_warm_start_dense_passing,"[10000, 50, 50, 50, 1]",505201,52,0.0,0.1393188553587153,0.1393188536167144,554.6987447738647,601.36248254776,2,600,0,
