Model Name,Data Seed,Training Seed,Input Size,Number of Layers,Layers Size,CallBack Type,Prune Time,Total Params,Params Details,Accuracy,MostNegative,TimeFirstNegative
dense,0,2,28,4,32,NonCallBack,0,28618,"[25088, 1024, 1024, 1024, 320]",0.9536,-5.158914089202881,83.45675802230835
unstructured_finetune_0.3,0,2,28,4,32,NonCallBack,202.56600069999695,20070,"[17561, 716, 716, 716, 223]",0.9675,-13.701374053955078,78.62923979759216
unstructured_finetune_0.5,0,2,28,4,32,NonCallBack,207.93198561668396,14379,"[12544, 512, 512, 512, 161]",0.9669,-14.072776794433594,63.76809597015381
unstructured_finetune_0.8,0,2,28,4,32,NonCallBack,203.28991270065308,5835,"[5018, 205, 205, 205, 64]",0.9599,-12.043091773986816,1.6422669887542725
unstructured_finetune_0.9,0,2,28,4,32,NonCallBack,203.54742550849915,2985,"[2509, 102, 102, 102, 32]",0.9397,-6.317307949066162,0.728708028793335
unstructured_finetune_0.95,0,2,28,4,32,NonCallBack,209.59857845306396,1562,"[1255, 51, 51, 51, 16]",0.8314,-1.630323886871338,0.1700887680053711
unstructured_nonfinetune_0.3,0,2,28,4,32,NonCallBack,1.8397135734558105,20070,"[17561, 716, 716, 716, 223]",0.9576,-10.334296226501465,51.17283511161804
unstructured_nonfinetune_0.5,0,2,28,4,32,NonCallBack,1.82326078414917,14379,"[12544, 512, 512, 512, 161]",0.9429,-15.31185531616211,40.5198700428009
unstructured_nonfinetune_0.8,0,2,28,4,32,NonCallBack,1.8248963356018066,5835,"[5018, 205, 205, 205, 64]",0.2914,-12.80076789855957,1.5705440044403076
unstructured_nonfinetune_0.9,0,2,28,4,32,NonCallBack,1.8301618099212646,2985,"[2509, 102, 102, 102, 32]",0.1155,-15.299295425415039,0.572227954864502
unstructured_nonfinetune_0.95,0,2,28,4,32,NonCallBack,1.8559696674346924,1562,"[1255, 51, 51, 51, 16]",0.1135,-15.2564697265625,0.07896804809570312
structured_finetune_0.3,0,2,28,4,32,NonCallBack,202.89871168136597,19722,"[17248, 704, 704, 704, 224]",0.7667,-13.069344520568848,63.20674800872803
structured_finetune_0.5,0,2,28,4,32,NonCallBack,207.4537317752838,14378,"[12544, 512, 512, 512, 160]",0.5754,2.206855297088623,
structured_finetune_0.8,0,2,28,4,32,NonCallBack,200.4443552494049,6362,"[5488, 224, 224, 224, 64]",0.3032,3.6045455932617188,
structured_finetune_0.9,0,2,28,4,32,NonCallBack,210.7307207584381,2810,"[2352, 96, 96, 96, 32]",0.2121,3.5956871509552,
structured_finetune_0.95,0,2,28,4,32,NonCallBack,202.90935492515564,1930,"[1568, 64, 64, 64, 32]",0.2094,0.28306078910827637,0.011774063110351562
structured_nonfinetune_0.3,0,2,28,4,32,NonCallBack,1.9040439128875732,19722,"[17248, 704, 704, 704, 224]",0.4914,-6.739439010620117,190.92171812057495
structured_nonfinetune_0.5,0,2,28,4,32,NonCallBack,1.8375976085662842,14378,"[12544, 512, 512, 512, 160]",0.2149,-20.257640838623047,42.704713106155396
structured_nonfinetune_0.8,0,2,28,4,32,NonCallBack,1.765669584274292,6362,"[5488, 224, 224, 224, 64]",0.0982,8.617403030395508,
structured_nonfinetune_0.9,0,2,28,4,32,NonCallBack,1.8704564571380615,2810,"[2352, 96, 96, 96, 32]",0.0982,5.400115489959717,
structured_nonfinetune_0.95,0,2,28,4,32,NonCallBack,1.7978811264038086,1930,"[1568, 64, 64, 64, 32]",0.0982,10.57819938659668,
random_unstructured_finetune_0.3,0,2,28,4,32,NonCallBack,200.97868537902832,20070,"[17561, 716, 716, 716, 223]",0.9573,-11.290484428405762,61.89577794075012
random_unstructured_finetune_0.5,0,2,28,4,32,NonCallBack,211.91751146316528,14379,"[12544, 512, 512, 512, 161]",0.9402,-6.219128131866455,59.38246202468872
random_unstructured_finetune_0.8,0,2,28,4,32,NonCallBack,209.6581540107727,5835,"[5018, 205, 205, 205, 64]",0.3377,-4.433565139770508,0.7796781063079834
random_unstructured_finetune_0.9,0,2,28,4,32,NonCallBack,203.01233315467834,2985,"[2509, 102, 102, 102, 32]",0.1135,-0.863621711730957,0.11266398429870605
random_unstructured_finetune_0.95,0,2,28,4,32,NonCallBack,202.94735455513,1562,"[1255, 51, 51, 51, 16]",0.1135,-0.002260923385620117,0.025614023208618164
random_unstructured_nonfinetune_0.3,0,2,28,4,32,NonCallBack,2.0457634925842285,20070,"[17561, 716, 716, 716, 223]",0.3611,-3.596709728240967,51.79156303405762
random_unstructured_nonfinetune_0.5,0,2,28,4,32,NonCallBack,1.9833698272705078,14379,"[12544, 512, 512, 512, 161]",0.276,0.6746083498001099,136.10050296783447
random_unstructured_nonfinetune_0.8,0,2,28,4,32,NonCallBack,2.0156757831573486,5835,"[5018, 205, 205, 205, 64]",0.1032,-12.922407150268555,1.1707019805908203
random_unstructured_nonfinetune_0.9,0,2,28,4,32,NonCallBack,2.0225470066070557,2985,"[2509, 102, 102, 102, 32]",0.0982,9.413229942321777,
random_unstructured_nonfinetune_0.95,0,2,28,4,32,NonCallBack,1.981903314590454,1562,"[1255, 51, 51, 51, 16]",0.1032,-11.722696304321289,0.03464508056640625
random_structured_finetune_0.3,0,2,28,4,32,NonCallBack,201.81810402870178,19722,"[17248, 704, 704, 704, 224]",0.7613,-4.866727352142334,0.11013293266296387
random_structured_finetune_0.5,0,2,28,4,32,NonCallBack,201.43933367729187,14378,"[12544, 512, 512, 512, 160]",0.5745,-1.499945878982544,0.03229999542236328
random_structured_finetune_0.8,0,2,28,4,32,NonCallBack,205.23741960525513,6362,"[5488, 224, 224, 224, 64]",0.2982,4.428554534912109,
random_structured_finetune_0.9,0,2,28,4,32,NonCallBack,204.0505702495575,2810,"[2352, 96, 96, 96, 32]",0.1135,-0.7444295883178711,0.015469074249267578
random_structured_finetune_0.95,0,2,28,4,32,NonCallBack,210.98086714744568,1930,"[1568, 64, 64, 64, 32]",0.1135,0.11171507835388184,0.011226892471313477
random_structured_nonfinetune_0.3,0,2,28,4,32,NonCallBack,1.9328317642211914,19722,"[17248, 704, 704, 704, 224]",0.365,-1.6416335105895996,300.0322449207306
random_structured_nonfinetune_0.5,0,2,28,4,32,NonCallBack,1.9252195358276367,14378,"[12544, 512, 512, 512, 160]",0.1343,-8.673933029174805,0.7796070575714111
random_structured_nonfinetune_0.8,0,2,28,4,32,NonCallBack,1.9341285228729248,6362,"[5488, 224, 224, 224, 64]",0.1477,-0.0002586841583251953,0.01710200309753418
random_structured_nonfinetune_0.9,0,2,28,4,32,NonCallBack,2.100567102432251,2810,"[2352, 96, 96, 96, 32]",0.0982,10.178509712219238,
random_structured_nonfinetune_0.95,0,2,28,4,32,NonCallBack,1.9641220569610596,1930,"[1568, 64, 64, 64, 32]",0.0982,12.411642074584961,
dense,0,2,28,4,64,NonCallBack,0,63370,"[50176, 4096, 4096, 4096, 640]",0.9634,6.347729682922363,
unstructured_finetune_0.3,0,2,28,4,64,NonCallBack,210.47634053230286,44438,"[35123, 2867, 2867, 2867, 448]",0.9773,5.960141658782959,
unstructured_finetune_0.5,0,2,28,4,64,NonCallBack,203.3480885028839,31817,"[25088, 2048, 2048, 2048, 319]",0.9766,2.2926840782165527,
unstructured_finetune_0.8,0,2,28,4,64,NonCallBack,208.57790637016296,12889,"[10035, 820, 820, 820, 128]",0.9731,-11.22827434539795,81.8936710357666
unstructured_finetune_0.9,0,2,28,4,64,NonCallBack,203.28964352607727,6574,"[5017, 409, 409, 409, 64]",0.9675,-10.760890007019043,52.0219030380249
unstructured_finetune_0.95,0,2,28,4,64,NonCallBack,211.232168674469,3422,"[2509, 205, 205, 205, 32]",0.9562,-0.6831469535827637,0.5031230449676514
unstructured_nonfinetune_0.3,0,2,28,4,64,NonCallBack,1.8773808479309082,44438,"[35123, 2867, 2867, 2867, 448]",0.9648,3.168333053588867,
unstructured_nonfinetune_0.5,0,2,28,4,64,NonCallBack,1.870588779449463,31817,"[25088, 2048, 2048, 2048, 319]",0.9641,5.207653045654297,
unstructured_nonfinetune_0.8,0,2,28,4,64,NonCallBack,1.8205671310424805,12889,"[10035, 820, 820, 820, 128]",0.7281,-13.14209270477295,4.853614091873169
unstructured_nonfinetune_0.9,0,2,28,4,64,NonCallBack,1.9480044841766357,6574,"[5017, 409, 409, 409, 64]",0.3529,-10.222962379455566,86.81954097747803
unstructured_nonfinetune_0.95,0,2,28,4,64,NonCallBack,1.8245735168457031,3422,"[2509, 205, 205, 205, 32]",0.1517,-10.555566787719727,0.9784889221191406
structured_finetune_0.3,0,2,28,4,64,NonCallBack,209.89296865463257,44634,"[35280, 2880, 2880, 2880, 448]",0.7953,-0.5318949222564697,291.096293926239
structured_finetune_0.5,0,2,28,4,64,NonCallBack,209.68162155151367,31818,"[25088, 2048, 2048, 2048, 320]",0.5949,-6.603786468505859,174.52909016609192
structured_finetune_0.8,0,2,28,4,64,NonCallBack,208.2434000968933,12106,"[9408, 768, 768, 768, 128]",0.3046,2.532254695892334,
structured_finetune_0.9,0,2,28,4,64,NonCallBack,201.76699256896973,6186,"[4704, 384, 384, 384, 64]",0.2077,-0.9905683994293213,2.3683278560638428
structured_finetune_0.95,0,2,28,4,64,NonCallBack,207.86597990989685,3258,"[2352, 192, 192, 192, 64]",0.1178,-11.899676322937012,0.021339893341064453
structured_nonfinetune_0.3,0,2,28,4,64,NonCallBack,1.9122259616851807,44634,"[35280, 2880, 2880, 2880, 448]",0.6944,0.9381798505783081,41.14021015167236
structured_nonfinetune_0.5,0,2,28,4,64,NonCallBack,1.8797411918640137,31818,"[25088, 2048, 2048, 2048, 320]",0.4056,3.1794958114624023,
structured_nonfinetune_0.8,0,2,28,4,64,NonCallBack,1.9042773246765137,12106,"[9408, 768, 768, 768, 128]",0.1,-10.233966827392578,14.73141598701477
structured_nonfinetune_0.9,0,2,28,4,64,NonCallBack,1.8624989986419678,6186,"[4704, 384, 384, 384, 64]",0.1024,-9.625227928161621,5.143443822860718
structured_nonfinetune_0.95,0,2,28,4,64,NonCallBack,1.823411226272583,3258,"[2352, 192, 192, 192, 64]",0.0892,3.1037609577178955,
random_unstructured_finetune_0.3,0,2,28,4,64,NonCallBack,213.34482622146606,44438,"[35123, 2867, 2867, 2867, 448]",0.9726,7.222861289978027,
random_unstructured_finetune_0.5,0,2,28,4,64,NonCallBack,203.22748684883118,31817,"[25088, 2048, 2048, 2048, 319]",0.9606,6.016415596008301,
random_unstructured_finetune_0.8,0,2,28,4,64,NonCallBack,204.14145374298096,12889,"[10035, 820, 820, 820, 128]",0.5981,-5.4268598556518555,2.2528438568115234
random_unstructured_finetune_0.9,0,2,28,4,64,NonCallBack,210.85028100013733,6574,"[5017, 409, 409, 409, 64]",0.1135,-1.2568011283874512,1.4104888439178467
random_unstructured_finetune_0.95,0,2,28,4,64,NonCallBack,202.8309223651886,3422,"[2509, 205, 205, 205, 32]",0.1135,0.2912226915359497,0.20695710182189941
random_unstructured_nonfinetune_0.3,0,2,28,4,64,NonCallBack,1.9494504928588867,44438,"[35123, 2867, 2867, 2867, 448]",0.7336,9.597820281982422,
random_unstructured_nonfinetune_0.5,0,2,28,4,64,NonCallBack,1.9822838306427002,31817,"[25088, 2048, 2048, 2048, 319]",0.2383,-2.1766958236694336,4.243405103683472
random_unstructured_nonfinetune_0.8,0,2,28,4,64,NonCallBack,1.9993510246276855,12889,"[10035, 820, 820, 820, 128]",0.1733,-0.2393965721130371,232.85818099975586
random_unstructured_nonfinetune_0.9,0,2,28,4,64,NonCallBack,1.9644455909729004,6574,"[5017, 409, 409, 409, 64]",0.0892,-4.284487724304199,1.1561591625213623
random_unstructured_nonfinetune_0.95,0,2,28,4,64,NonCallBack,1.9864332675933838,3422,"[2509, 205, 205, 205, 32]",0.0892,-1.6836938858032227,0.14790892601013184
random_structured_finetune_0.3,0,2,28,4,64,NonCallBack,204.61375904083252,44634,"[35280, 2880, 2880, 2880, 448]",0.7807,-2.6575942039489746,87.65683698654175
random_structured_finetune_0.5,0,2,28,4,64,NonCallBack,203.1061511039734,31818,"[25088, 2048, 2048, 2048, 320]",0.5958,-4.902933597564697,0.0987250804901123
random_structured_finetune_0.8,0,2,28,4,64,NonCallBack,202.60297226905823,12106,"[9408, 768, 768, 768, 128]",0.2902,1.1439712047576904,
random_structured_finetune_0.9,0,2,28,4,64,NonCallBack,205.58049893379211,6186,"[4704, 384, 384, 384, 64]",0.1135,-4.834779739379883,0.021138906478881836
random_structured_finetune_0.95,0,2,28,4,64,NonCallBack,203.61994886398315,3258,"[2352, 192, 192, 192, 64]",0.1135,-6.206651210784912,0.05736899375915527
random_structured_nonfinetune_0.3,0,2,28,4,64,NonCallBack,1.9708976745605469,44634,"[35280, 2880, 2880, 2880, 448]",0.5754,-9.636077880859375,70.30708408355713
random_structured_nonfinetune_0.5,0,2,28,4,64,NonCallBack,1.986424207687378,31818,"[25088, 2048, 2048, 2048, 320]",0.3357,-13.244266510009766,3.817835807800293
random_structured_nonfinetune_0.8,0,2,28,4,64,NonCallBack,1.9668352603912354,12106,"[9408, 768, 768, 768, 128]",0.1174,-2.2292840480804443,0.05847907066345215
random_structured_nonfinetune_0.9,0,2,28,4,64,NonCallBack,1.9260780811309814,6186,"[4704, 384, 384, 384, 64]",0.1009,1.4807255268096924,
random_structured_nonfinetune_0.95,0,2,28,4,64,NonCallBack,1.9864869117736816,3258,"[2352, 192, 192, 192, 64]",0.0892,2.6523807048797607,
dense,0,2,18,2,32,NonCallBack,0,11786,"[10368, 1024, 320]",0.9512,-17.647178649902344,1.0769038200378418
unstructured_finetune_0.3,0,2,18,2,32,NonCallBack,183.1111297607422,8270,"[7257, 716, 223]",0.9569,-30.31289291381836,0.7484769821166992
unstructured_finetune_0.5,0,2,18,2,32,NonCallBack,180.44021320343018,5931,"[5184, 512, 161]",0.9567,-19.91637420654297,0.4403269290924072
unstructured_finetune_0.8,0,2,18,2,32,NonCallBack,182.00771403312683,2417,"[2074, 205, 64]",0.9445,-26.028484344482422,0.2114880084991455
unstructured_finetune_0.9,0,2,18,2,32,NonCallBack,184.1176404953003,1245,"[1037, 102, 32]",0.9179,-9.534019470214844,0.13171815872192383
unstructured_finetune_0.95,0,2,18,2,32,NonCallBack,183.04320859909058,660,"[519, 51, 16]",0.8777,-10.519556045532227,0.03197312355041504
unstructured_nonfinetune_0.3,0,2,18,2,32,NonCallBack,1.93086838722229,8270,"[7257, 716, 223]",0.9502,-30.39719009399414,0.628925085067749
unstructured_nonfinetune_0.5,0,2,18,2,32,NonCallBack,1.7866978645324707,5931,"[5184, 512, 161]",0.8942,-29.650482177734375,0.5705227851867676
unstructured_nonfinetune_0.8,0,2,18,2,32,NonCallBack,1.945727825164795,2417,"[2074, 205, 64]",0.4006,-15.364856719970703,0.1700458526611328
unstructured_nonfinetune_0.9,0,2,18,2,32,NonCallBack,1.8852057456970215,1245,"[1037, 102, 32]",0.1203,-12.616632461547852,0.03587913513183594
unstructured_nonfinetune_0.95,0,2,18,2,32,NonCallBack,1.866818904876709,660,"[519, 51, 16]",0.1379,2.763488292694092,
structured_finetune_0.3,0,2,18,2,32,NonCallBack,182.58874607086182,8130,"[7128, 704, 224]",0.7583,-16.340457916259766,0.556999921798706
structured_finetune_0.5,0,2,18,2,32,NonCallBack,181.05170130729675,5930,"[5184, 512, 160]",0.5677,3.5628011226654053,
