method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit,first_solution
no_warm_start_remove_region,"[1000, 1000, 1000, 1000, 1]",153051,50,0.95,-inf,-0.0028226599097251,16.123979091644287,606.5900149345398,2,600,0.2531062364578247
no_warm_start_remove_region,"[1000, 1000, 1000, 1000, 1]",3004001,51,0.0,-inf,0.0888134390115737,48.45974564552307,606.538626909256,2,600,0.1603278964757919
no_warm_start_remove_region,"[1000, 1000, 1000, 1000, 1]",2103701,51,0.3,-inf,0.0703076645731926,37.77754640579224,605.9522142410278,2,600,0.1603278964757919
no_warm_start_remove_region,"[1000, 1000, 1000, 1000, 1]",1503501,51,0.5,-inf,0.0227875486016273,43.69379138946533,605.5030932426453,2,600,0.1603278964757919
no_warm_start_remove_region,"[1000, 1000, 1000, 1000, 1]",603201,51,0.8,-inf,-0.0263130441308021,27.65707230567932,605.6239953041077,2,600,0.1603278964757919
no_warm_start_remove_region,"[1000, 1000, 1000, 1000, 1]",303101,51,0.9,-inf,-0.0419019237160682,15.597692728042604,604.589015007019,2,600,0.1603278964757919
no_warm_start_remove_region,"[1000, 1000, 1000, 1000, 1]",153051,51,0.95,-inf,-0.0496042184531688,12.564825773239136,604.5163860321045,2,600,0.1603278964757919
no_warm_start_remove_region,"[1000, 10000, 10000, 10000, 1]",210039991,50,0.0,-inf,-inf,,903.0808079242706,0,600,
no_warm_start_remove_region,"[1000, 10000, 10000, 10000, 1]",147037001,50,0.3,-inf,-0.0120076220482587,846.8389523029327,847.9538321495056,1,600,
no_warm_start_remove_region,"[1000, 10000, 10000, 10000, 1]",105035001,50,0.5,-inf,-0.0120076220482587,800.1521739959717,801.0627858638763,1,600,
no_warm_start_remove_region,"[1000, 10000, 10000, 10000, 1]",42032001,50,0.8,-inf,-0.0120076220482587,713.330150604248,713.7775750160217,1,600,
no_warm_start_remove_region,"[1000, 10000, 10000, 10000, 1]",21031001,50,0.9,-inf,-0.0120076220482587,670.7193005084991,670.929972410202,1,600,
no_warm_start_remove_region,"[1000, 10000, 10000, 10000, 1]",10530501,50,0.95,-inf,-0.0120076220482587,653.4131512641907,653.6081085205078,1,600,
no_warm_start_remove_region,"[1000, 10000, 10000, 10000, 1]",210039988,51,0.0,-inf,0.0312676355242729,899.408899307251,900.551194190979,1,600,
no_warm_start_remove_region,"[1000, 10000, 10000, 10000, 1]",147037001,51,0.3,-inf,0.0312676541507244,877.7477605342865,878.6859977245331,1,600,
no_warm_start_remove_region,"[1000, 10000, 10000, 10000, 1]",105035001,51,0.5,-inf,0.0312676541507244,786.5066883563995,787.3002288341522,1,600,
no_warm_start_remove_region,"[1000, 10000, 10000, 10000, 1]",42032001,51,0.8,-inf,0.0312676541507244,704.5052402019501,704.8600614070892,1,600,
no_warm_start_remove_region,"[1000, 10000, 10000, 10000, 1]",21031001,51,0.9,-inf,-inf,,671.7402081489563,0,600,
no_warm_start_remove_region,"[1000, 10000, 10000, 10000, 1]",10530501,51,0.95,-inf,-inf,,654.0272922515869,0,600,
no_warm_start_remove_region,"[10000, 100, 100, 1]",1010301,50,0.0,-inf,3.125688076019287,83.93547010421753,601.0080163478851,5,600,3.460690259933472
no_warm_start_remove_region,"[10000, 100, 100, 1]",707271,50,0.3,-inf,3.139263391494751,41.64710545539856,600.916805267334,32,600,3.460690259933472
no_warm_start_remove_region,"[10000, 100, 100, 1]",505251,50,0.5,-inf,3.0017611980438232,31.660934686660767,602.6391665935516,114,600,3.460690259933472
no_warm_start_remove_region,"[10000, 100, 100, 1]",202221,50,0.8,-inf,2.2332441806793213,358.7932977676392,600.6589086055756,171,600,3.460690259933472
no_warm_start_remove_region,"[10000, 100, 100, 1]",101211,50,0.9,-inf,1.4933916330337524,231.34842467308044,600.8363726139069,241,600,3.460690259933472
no_warm_start_remove_region,"[10000, 100, 100, 1]",50706,50,0.95,-inf,1.0402764081954956,486.8187057971954,600.7712261676788,767,600,3.460690259933472
no_warm_start_remove_region,"[10000, 100, 100, 1]",1010301,51,0.0,-inf,2.792604446411133,555.908659696579,601.4801487922668,19,600,3.176995038986206
no_warm_start_remove_region,"[10000, 100, 100, 1]",707271,51,0.3,-inf,2.5467820167541504,458.9575536251068,601.0491681098938,158,600,3.176995038986206
no_warm_start_remove_region,"[10000, 100, 100, 1]",505251,51,0.5,-inf,2.378955364227295,291.18338990211487,600.5248212814331,158,600,3.176995038986206
no_warm_start_remove_region,"[10000, 100, 100, 1]",202221,51,0.8,-inf,2.055628776550293,270.1811537742615,600.630951166153,238,600,3.176995038986206
no_warm_start_remove_region,"[10000, 100, 100, 1]",101211,51,0.9,-inf,1.5578147172927856,254.11009311676025,600.6816501617432,217,600,3.176995038986206
no_warm_start_remove_region,"[10000, 100, 100, 1]",50706,51,0.95,-inf,0.9980217218399048,505.3534505367279,601.2027835845947,662,600,3.176995038986206
no_warm_start_remove_region,"[10000, 1000, 1000, 1]",11003000,50,0.0,-inf,1.7275691032409668,128.17450332641602,607.0529239177704,2,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1]",7702701,50,0.3,-inf,1.6223039627075195,95.98688650131226,605.9614136219025,2,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1]",5502501,50,0.5,-inf,1.3010730743408203,75.8559558391571,605.3566918373108,2,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1]",2202201,50,0.8,-inf,0.9673006534576416,48.58643341064453,604.7910659313202,2,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1]",1102101,50,0.9,-inf,0.3516461551189422,35.25914907455444,603.6987640857697,2,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1]",552051,50,0.95,-inf,0.016851658001542,5.9936134815216064,6.401425361633301,3,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1]",11003000,51,0.0,-inf,1.334869623184204,131.20303559303284,607.0606572628021,2,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1]",7702701,51,0.3,-inf,1.243938684463501,105.09247636795044,607.1779863834381,2,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1]",5502501,51,0.5,-inf,0.9792856574058532,79.72809839248657,606.3013434410095,2,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1]",2202201,51,0.8,-inf,0.5655140280723572,52.18854522705078,605.3772320747375,2,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1]",1102101,51,0.9,-inf,0.0731394067406654,22.821955919265747,603.4938635826111,2,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1]",552051,51,0.95,-inf,-0.034940518438816,3.8874666690826416,4.255361795425415,3,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 1]",200029992,50,0.0,-inf,-inf,,771.7830429077148,0,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 1]",140027001,50,0.3,-inf,0.0253267399966716,731.356187582016,732.2837102413177,1,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 1]",100025001,50,0.5,-inf,0.0253267437219619,703.507007598877,704.2998697757721,1,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 1]",40022001,50,0.8,-inf,0.0253267399966716,660.5245118141174,660.8775148391724,1,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 1]",20021001,50,0.9,-inf,0.0253267399966716,645.9105381965637,646.1419389247894,1,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 1]",10020501,50,0.95,-inf,0.0253267399966716,638.2574422359467,638.4107127189636,1,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 1]",200029988,51,0.0,-inf,-0.0578682087361812,769.5157644748688,770.8226561546326,1,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 1]",140027001,51,0.3,-inf,-0.0578682087361812,727.3381969928741,728.4278914928436,1,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 1]",100025001,51,0.5,-inf,-0.0578682087361812,703.946485042572,704.8363516330719,1,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 1]",40022001,51,0.8,-inf,-0.0578682087361812,660.045770406723,660.4224724769592,1,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 1]",20021001,51,0.9,-inf,-0.0578682087361812,657.6619925498962,658.0129723548889,1,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 1]",10020501,51,0.95,-inf,-0.0578682087361812,640.0889654159546,640.2473602294922,1,600,
no_warm_start_remove_region,"[10000, 100, 100, 100, 1]",1020401,50,0.0,-inf,0.1211388707160949,10.676122665405272,601.2768173217773,2,600,0.8198442459106445
no_warm_start_remove_region,"[10000, 100, 100, 100, 1]",714371,50,0.3,-inf,0.0906481817364692,4.305366516113281,601.001663684845,2,600,0.8198442459106445
no_warm_start_remove_region,"[10000, 100, 100, 100, 1]",510351,50,0.5,-inf,0.0682588815689086,2.859917402267456,600.8660216331482,2,600,0.8198442459106445
no_warm_start_remove_region,"[10000, 100, 100, 100, 1]",204321,50,0.8,-inf,0.362001895904541,520.5600216388702,600.8154399394989,23,600,0.8198442459106445
no_warm_start_remove_region,"[10000, 100, 100, 100, 1]",102311,50,0.9,-inf,0.2524759471416473,600.5831019878387,600.6943616867065,8,600,0.8198442459106445
no_warm_start_remove_region,"[10000, 100, 100, 100, 1]",51306,50,0.95,-inf,0.1798585653305053,588.8928537368774,601.0085847377777,33,600,0.8198442459106445
no_warm_start_remove_region,"[10000, 100, 100, 100, 1]",1020401,51,0.0,-inf,-0.0202496349811553,7.341439008712768,601.4312455654144,2,600,0.8064201474189758
no_warm_start_remove_region,"[10000, 100, 100, 100, 1]",714371,51,0.3,-inf,-0.0293659046292305,4.302035570144653,601.4912683963776,2,600,0.8064201474189758
no_warm_start_remove_region,"[10000, 100, 100, 100, 1]",510351,51,0.5,-inf,-0.0314432978630065,3.054351329803467,601.4452896118164,2,600,0.8064201474189758
no_warm_start_remove_region,"[10000, 100, 100, 100, 1]",204321,51,0.8,-inf,0.2568638920783996,555.9342510700226,601.0707123279572,15,600,0.8064201474189758
